COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01045,36317,CLOPTON,AL,0.000596265,0.000461894,0.0,0.000577151
01045,36360,OZARK,AL,0.35254982,0.452655889,0.502407705,0.361498283
01045,36353,NEWVILLE,AL,0.010230661,0.004618938,0.0,0.00969613
01045,36362,FORT RUCKER,AL,0.089188765,0.0073903,0.017656501,0.082792255
01045,36352,NEWTON,AL,0.032072807,0.013856813,0.006420546,0.030473552
01045,36322,DALEVILLE,AL,0.159642241,0.248498845,0.199036918,0.165901942
01045,36010,BRUNDIDGE,AL,3.1382e-05,0.0,0.0,2.8858e-05
01047,36761,MINTER,AL,0.01546857,0.012151215,0.0,0.01427915
01047,36703,SELMA,AL,0.294066962,0.349234923,0.334314303,0.300816456
01047,36767,ORRVILLE,AL,0.044107993,0.00990099,0.014125956,0.039621108
01047,36749,JONES,AL,0.011775808,0.00270027,0.006474397,0.010744707
01047,36759,MARION JUNCTION,AL,0.036763499,0.014851485,0.000588582,0.032870321
01047,36785,TYLER,AL,0.007016248,0.00360036,0.0,0.006326653
01047,36701,SELMA,AL,0.543902839,0.592709271,0.640965274,0.553564486
01047,36758,PLANTERSVILLE,AL,0.017561136,0.00630063,0.000588582,0.015657583
01047,36775,SARDIS,AL,0.020228131,0.00630063,0.002354326,0.018061004
01047,36773,SAFFORD,AL,0.009108813,0.002250225,0.000588582,0.00805853
01049,35962,CROSSVILLE,AL,0.090394212,0.04136164,0.111949686,0.087715275
01049,35971,FYFFE,AL,0.063697605,0.035505124,0.064150943,0.061939597
01049,35968,FORT PAYNE,AL,0.100299401,0.182650073,0.066666667,0.104845552
01049,35989,VALLEY HEAD,AL,0.043987026,0.015007321,0.01509434,0.04164469
01049,35961,COLLINSVILLE,AL,0.055938124,0.024524158,0.031446541,0.053523517
01049,35957,BOAZ,AL,0.026521956,0.006222548,0.00754717,0.024904258
01049,35975,GROVEOAK,AL,0.013947106,0.001830161,0.0,0.012933703
01049,35954,ATTALLA,AL,0.001871257,0.000366032,0.0,0.001742839
01049,35986,RAINSVILLE,AL,0.114695609,0.110541728,0.096855346,0.11411012
01049,35978,HENAGAR,AL,0.070484032,0.05636896,0.041509434,0.069071479
01049,35967,FORT PAYNE,AL,0.208133733,0.423133236,0.371069182,0.224574036
01049,35966,FLAT ROCK,AL,0.019486028,0.011346999,0.010062893,0.01880432
01049,35988,SYLVANIA,AL,0.025349301,0.011346999,0.059119497,0.025087715
01049,35956,BOAZ,AL,2.495e-05,0.0,0.0,2.2932e-05
01049,35981,IDER,AL,0.033133733,0.025988287,0.057861635,0.033136882
01049,35963,DAWSON,AL,0.024376248,0.002562225,0.013836478,0.022817438
01049,35771,SECTION,AL,0.00244511,0.000366032,0.005031447,0.002362006
01049,35979,HIGDON,AL,0.011876248,0.004026354,0.0,0.011167932
01049,35744,DUTTON,AL,2.495e-05,0.0,0.0,2.2932e-05
01049,35984,MENTONE,AL,0.032959082,0.015007321,0.013836478,0.031485771
01049,35951,ALBERTVILLE,AL,0.031586826,0.006222548,0.01509434,0.029697067
01049,35983,LEESBURG,AL,0.000548902,0.0,0.0,0.000504506
