RegionID,RegionName,StateName,SizeRank,zhvi_latest_date,zhvi_latest_value,zhvi_pct_change_5y,zhvi_slope_per_year_10y,temp_latest_date,market_temp_latest,market_temp_pct_change_5y,market_temp_slope_per_year_10y
394485,"Columbia, MO",MO,219,2026-01-31,307966.1253989678,40.429595345190265,16157.4578749612,2026-01-31,48.0,-39.24050632911392,1.7978606291855537
394486,"Columbia, SC",SC,72,2026-01-31,247876.77459314547,40.014180878956026,13930.00050679092,2026-01-31,44.0,-43.58974358974359,0.9483820110984091
394488,"Columbus, GA",GA,158,2026-01-31,200073.6272524433,36.17457710651251,10392.347585421407,2026-01-31,38.0,-44.11764705882353,1.0203437026711697
394489,"Columbus, IN",IN,445,2026-01-31,265332.68174662086,40.34379201051485,14172.990453050104,2026-01-31,31.0,-61.728395061728406,0.083952376782886
394490,"Columbus, MS",MS,543,2026-01-31,173882.23395909913,23.064237132237352,5856.138150541873,2026-01-31,32.0,-37.254901960784316,0.3680119148840958
394491,"Columbus, NE",NE,780,2026-01-31,267606.29123929376,36.293889723048565,14098.453891966976,2026-01-31,27.0,-51.78571428571428,-1.604162190557747
394492,"Columbus, OH",OH,32,2026-01-31,317223.45147121215,35.790255953807204,18692.142630419356,2026-01-31,52.0,-50.943396226415096,-0.6681539498964302
394493,"Concord, NH",NH,285,2026-01-31,468928.0196184127,53.69310082311951,29308.574816234122,2026-01-31,59.0,-48.69565217391304,1.7674326135985607
394494,"Connersville, IN",IN,877,2026-01-31,153223.33076875497,57.02164309673656,9973.52084842852,2026-01-31,42.0,-16.000000000000004,0.21541249885810027
394495,"Cookeville, TN",TN,363,2026-01-31,283251.7115428574,43.05595418056003,18065.70633010074,2026-01-31,17.0,-81.72043010752688,-2.5671668357311237
394496,"Coos Bay, OR",OR,514,2026-01-31,338385.2636319028,26.255239854770895,20713.222889312947,2026-01-31,30.0,-55.88235294117647,-3.8878509281997538
394498,"Cordele, GA",GA,905,2026-01-31,127870.78957130796,24.378004573600553,6893.747597604206,2026-01-31,48.0,-22.580645161290324,1.4610802476533382
394499,"Corinth, MS",MS,765,2026-01-31,169960.43362994448,25.210095383094355,5933.124918425184,2026-01-31,39.0,-31.57894736842105,0.21695340960562273
394500,"Cornelia, GA",GA,644,2026-01-31,312536.48661199334,52.27358953221655,21477.613348562412,2026-01-31,17.0,-80.68181818181819,-2.6389074428930344
394501,"Corning, NY",NY,413,2026-01-31,159762.3359684093,25.76293133479126,7519.520728822232,2026-01-31,47.0,-17.543859649122805,4.275439298940551
394502,"Corpus Christi, TX",TX,129,2026-01-31,216858.3291685589,12.34049329380551,7985.402518277532,2026-01-31,40.0,-35.483870967741936,-0.8608943867973035
394503,"Corsicana, TX",TX,592,2026-01-31,221021.61258290056,38.542970843509664,14142.208254510315,2026-01-31,49.0,-42.352941176470594,-2.5770366137938034
394504,"Cortland, NY",NY,629,2026-01-31,189992.1278834103,37.87750184130041,8625.956052443495,2026-01-31,74.0,21.311475409836067,9.296077365523942
394505,"Corvallis, OR",OR,411,2026-01-31,542212.2286333772,29.802176927199262,29058.11783159596,2026-01-31,52.0,-48.0,-0.8916959856567293
394506,"Coshocton, OH",OH,747,2026-01-31,173895.38273071896,38.90335168889656,9378.210957410027,2026-01-31,52.0,67.74193548387098,3.4118951843175562
394507,"Crawfordsville, IN",IN,722,2026-01-31,210783.68387983105,41.624102686951204,11865.285675613026,2026-01-31,28.0,-56.25,1.0892789947819475
394508,"Crescent City, CA",CA,840,2026-01-31,353878.97704921104,21.54801148874681,17819.253378457095,2026-01-31,50.0,-30.555555555555557,-1.4864413753388575
394509,"Crossville, TN",TN,534,2026-01-31,297970.9840460271,51.37447214120443,20866.66917809798,2026-01-31,19.0,-72.85714285714286,-2.198942718729212
394511,"Cullman, AL",AL,424,2026-01-31,245410.65644582512,31.150889794553116,12109.538322344268,2026-01-31,41.0,-43.83561643835616,0.8665504439535473
394513,"Cumberland, MD",MD,409,2026-01-31,157481.59469751376,28.35666089423883,7148.113527631043,2026-01-31,51.0,-31.999999999999996,5.708108387496628
394514,"Dallas, TX",TX,4,2026-01-31,357649.07920714334,28.177419588198305,20996.925245188435,2026-01-31,52.0,-45.263157894736835,-0.4915081557284465
394515,"Dalton, GA",GA,305,2026-01-31,241762.5445216137,45.154309854903964,14843.805277652298,2026-01-31,19.0,-81.1881188118812,-2.1360247664930907
394516,"Danville, IL",IL,472,2026-01-31,92766.91304647656,22.218867805697574,2939.5555807139676,2026-01-31,33.0,3.125,7.676891324905332
394517,"Danville, KY",KY,574,2026-01-31,202744.1615899125,41.30428660704677,11905.989511357062,2026-01-31,28.0,-50.0,-0.4810805233226887
394518,"Danville, VA",VA,385,2026-01-31,157392.82197170227,40.88285627148698,8672.4092782905,2026-01-31,24.0,-60.65573770491803,1.916176567397031
394519,"Daphne, AL",AL,203,2026-01-31,362160.9047194119,32.343428954714646,21608.144457930925,2026-01-31,35.0,-52.702702702702695,-1.9966937540353367
394520,"Davenport, IA",IL,144,2026-01-31,182859.71009680716,22.703636096231893,6135.674428599285,2026-01-31,49.0,-16.94915254237288,2.7948267922251655
394522,"DeRidder, LA",LA,749,2026-01-31,182764.0580795052,-13.707438428819618,-1524.6105117782447,2026-01-31,39.0,-40.90909090909091,-0.3471566906065627
